category,equipment_required,muscle,name
Strength,Dumbbell,Biceps,Seated Dumbbell Curl
Strength,Barbell,Triceps,JM Press
Strength,Cable,Shoulders,Cable Internal Rotation
Strength,Dumbbell,Biceps,Standing One-Arm Dumbbell Curl Over Incline Bench
Strength,Other,Abdominals,Knee/Hip Raise On Parallel Bars
Strength,Cable,Triceps,Triceps Pushdown
Strength,Dumbbell,Shoulders,Side Lateral Raise
Strength,Kettlebells,Shoulders,Alternating Kettlebell Press
Strength,Kettlebells,Shoulders,One-Arm Kettlebell Snatch
Strength,Kettlebells,Hamstrings,Kettlebell One-Legged Deadlift
Strength,Kettlebells,Shoulders,Kettlebell Thruster
Powerlifting,Barbell,Glutes,Kneeling Squat
Plyometrics,Other,Hamstrings,Front Box Jump
Strength,Dumbbell,Quadriceps,Split Squat with Dumbbells
Strength,Bands,Adductors,Band Hip Adductions
Plyometrics,Other,Abdominals,Sledgehammer Swings
Strength,None,Chest,Decline Push-Up
Strength,Other,Shoulders,Battling Ropes
Strength,Dumbbell,Chest,Hammer Grip Incline DB Bench Press
Strength,Cable,Shoulders,Bent Over Low-Pulley Side Lateral
Strength,Body Only,Chest,Pushups (Close and Wide Hand Positions)
Strength,Body Only,Abdominals,Jackknife Sit-Up
Strength,Body Only,Chest,Push-Ups With Feet Elevated
Strength,Barbell,Quadriceps,One Leg Barbell Squat
Strength,Exercise Ball,Chest,Push-Ups With Feet On An Exercise Ball
Strength,Cable,Biceps,Standing Biceps Cable Curl
Strength,Cable,Shoulders,Low Pulley Row To Neck
Strength,Body Only,Abdominals,Decline Oblique Crunch
Strength,Dumbbell,Shoulders,External Rotation
Stretching,Body Only,Abdominals,Stomach Vacuum
Strength,Barbell,Shoulders,Barbell Rear Delt Row
Strength,Kettlebells,Middle Back,Alternating Renegade Row
Olympic Weightlifting,Barbell,Hamstrings,Clean
Powerlifting,Barbell,Hamstrings,Good Morning
Olympic Weightlifting,Barbell,Hamstrings,Wide Stance Stiff Legs
Plyometrics,Body Only,Quadriceps,Scissors Jump
Strength,Machine,Calves,Calf Press
Strength,Cable,Shoulders,Seated Cable Shoulder Press
Strength,Dumbbell,Chest,Decline Dumbbell Bench Press
Strength,Machine,Quadriceps,Leg Extensions
Strength,Barbell,Quadriceps,Barbell Hack Squat
Strength,Cable,Lats,Underhand Cable Pulldowns
Strength,Dumbbell,Triceps,Decline Dumbbell Triceps Extension
Strength,Dumbbell,Shoulders,One-Arm Incline Lateral Raise
Strength,Barbell,Biceps,Drag Curl
Strength,Barbell,Abdominals,Press Sit-Up
